,area,hom_dol,vitimas_hom_dol,vit_dol_transito,hom_culposo_transito,hom_culposo,tentativa_homicidio,les_corp_morte,les_corp_dol,les_corp_culposa_transito,les_corp_culposa,latrocinio,n_vitimas_latroc,total_estupro,estup,estup_vulneravel,total_roubo,roub_out,roub_veic,roubo_banco,roubo_carga,furt_out,furt_veic,total_vitimas_homicidio,total_homicidios,total_les_corporal,total_roubo2,total_furt
43,44,10,10,1,0,1,8,3,348,86,3,0,0,40,9,31,1965,1936,350,0,29,1523,351,11,22,440,2315,1874
44,45,7,7,0,4,0,6,0,271,74,3,0,0,25,8,17,594,576,69,0,18,914,156,7,18,348,663,1070
45,46,9,9,0,27,0,16,0,571,194,2,1,1,75,19,56,1868,1709,407,0,159,1845,400,9,45,767,2275,2245
46,47,24,26,0,8,0,26,2,752,185,2,2,2,79,16,63,5212,5072,468,0,140,2317,384,26,58,941,5680,2701
47,48,12,13,0,3,0,7,1,166,92,1,0,0,21,2,19,958,923,122,0,35,1846,166,13,28,260,1080,2012
48,49,11,12,0,11,0,11,0,472,169,8,3,3,61,9,52,2941,2805,632,0,136,2702,783,12,34,649,3573,3485
49,50,10,10,0,7,0,12,0,476,102,2,1,1,56,11,45,2361,2345,239,0,16,2725,463,10,27,580,2600,3188
50,51,2,2,0,4,0,1,0,312,123,1,3,3,17,5,12,1863,1841,266,0,22,1884,215,2,8,436,2129,2099
51,52,3,3,0,1,0,2,0,144,62,2,0,0,4,3,1,736,710,40,0,26,2451,380,3,7,208,776,2831
52,53,14,16,0,1,0,10,0,369,132,3,0,0,35,9,26,1420,1372,362,1,47,1807,642,16,31,504,1782,2449
53,56,3,3,0,3,0,2,1,197,99,5,0,0,13,4,9,753,722,143,1,30,1494,751,3,9,302,896,2245
54,57,0,0,0,1,0,1,0,173,66,12,1,1,13,3,10,269,258,48,0,11,788,611,0,1,251,317,1399
55,58,1,1,0,0,0,1,0,124,58,13,0,0,10,4,6,418,415,70,0,3,741,639,1,2,195,488,1380
56,62,6,6,0,6,1,6,0,354,69,4,0,0,26,9,17,969,965,71,0,4,1599,343,6,19,427,1040,1942
57,63,4,4,0,8,0,6,0,359,118,2,0,0,35,10,25,1319,1299,169,0,20,1856,415,4,16,479,1488,2271
58,64,7,7,0,4,0,8,0,542,95,8,0,0,44,9,35,1584,1571,172,0,13,2739,613,7,18,645,1756,3352
59,65,2,2,0,6,0,2,0,260,56,4,1,1,14,4,10,1041,1032,136,0,9,2907,425,2,10,320,1177,3332
60,66,4,4,0,3,0,8,0,364,119,7,1,1,28,8,20,1246,1204,187,0,42,1644,546,4,11,490,1433,2190
61,69,7,7,0,6,0,6,1,376,125,2,1,1,50,12,38,1745,1728,330,0,17,1522,913,7,20,504,2075,2435
62,70,5,5,0,8,0,14,1,291,133,11,0,0,22,4,18,1394,1360,281,0,34,897,675,5,18,436,1675,1572
63,73,15,15,0,16,0,5,1,547,165,5,1,1,53,4,49,1420,1317,293,1,102,2309,432,15,46,718,1713,2741
64,75,11,11,0,4,2,11,0,320,84,9,1,1,29,6,23,1420,1368,282,0,52,1024,253,11,28,413,1702,1277
65,77,5,5,0,0,0,5,1,252,50,2,0,0,12,7,5,1978,1975,28,0,3,4571,174,5,10,305,2006,4745
66,78,1,1,0,1,0,2,0,238,104,4,0,0,8,6,2,2851,2848,27,0,3,10558,491,1,3,346,2878,11049
67,80,7,9,0,2,0,8,0,245,63,6,1,1,23,7,16,1054,1044,154,0,10,1042,128,9,18,314,1208,1170
68,81,2,2,0,1,0,4,0,208,44,8,0,0,4,1,3,494,463,22,0,31,1021,128,2,5,260,516,1149
69,85,14,15,0,2,0,6,1,568,129,6,0,0,56,8,48,2187,2068,204,0,119,1963,311,15,31,704,2391,2274
70,87,4,4,0,3,0,4,0,330,89,4,0,0,20,8,12,1091,1062,258,0,29,1423,419,4,11,423,1349,1842
71,89,9,10,0,8,0,6,0,240,85,8,1,1,27,9,18,1412,1403,185,0,9,1459,133,10,27,333,1597,1592
72,90,6,6,0,16,1,6,0,213,112,1,0,0,19,4,15,870,781,129,1,88,1417,288,6,29,326,999,1705
73,91,2,2,0,4,0,3,0,162,71,0,0,0,4,3,1,543,518,116,0,25,1725,505,2,8,233,659,2230
74,92,13,13,0,9,0,23,2,589,176,8,2,2,60,16,44,2867,2815,265,0,52,2498,405,13,35,775,3132,2903
75,96,2,2,0,2,1,1,0,337,145,12,1,1,12,6,6,1832,1817,144,0,15,3138,375,2,7,494,1976,3513
76,97,1,1,0,2,0,4,0,361,64,3,0,0,22,7,15,1069,1056,200,0,13,1165,177,1,4,428,1269,1342
77,98,14,14,0,3,0,13,0,486,129,3,0,0,59,10,49,2089,2070,366,0,19,1593,204,14,31,618,2455,1797
78,99,0,0,0,8,0,4,0,171,129,16,0,0,8,1,7,1043,1022,192,0,21,1630,522,0,8,316,1235,2152
79,101,26,26,0,8,0,20,0,0,2,0,1,1,59,10,49,1917,1841,206,0,76,2251,239,26,60,2,2123,2490
80,102,2,2,0,8,0,4,0,130,206,1,0,0,10,2,8,575,560,113,0,15,841,176,2,12,337,688,1017
81,103,5,7,0,2,0,4,1,328,54,5,0,0,21,3,18,1073,1065,141,0,8,1490,401,7,14,388,1214,1891
