,area,hom_dol,vitimas_hom_dol,vit_dol_transito,hom_culposo_transito,hom_culposo,tentativa_homicidio,les_corp_morte,les_corp_dol,les_corp_culposa_transito,les_corp_culposa,latrocinio,n_vitimas_latroc,total_estupro,estup,estup_vulneravel,total_roubo,roub_out,roub_veic,roubo_banco,roubo_carga,furt_out,furt_veic,total_vitimas_homicidio,total_homicidios,total_les_corporal,total_roubo2,total_furt
0,1,13,13,0,2,0,11,1,339,92,3,0,0,17,9,8,4664,4632,30,0,32,11757,168,13,28,435,4694,11925
1,2,7,7,0,2,0,5,0,67,26,0,0,0,4,0,4,967,960,19,0,7,3747,87,7,16,93,986,3834
2,3,12,12,0,2,1,15,1,374,77,3,0,0,33,23,10,7226,7192,26,0,34,11136,112,12,27,455,7252,11248
3,4,0,0,0,0,0,1,0,224,44,1,0,0,17,7,10,2796,2794,30,0,2,6420,198,0,0,269,2826,6618
4,5,4,4,0,0,0,1,0,320,84,2,0,0,9,5,4,1116,1116,38,0,0,3383,485,4,8,406,1154,3868
5,6,3,3,0,0,0,3,0,498,75,5,0,0,12,5,7,1168,1159,124,0,9,2928,687,3,6,578,1292,3615
6,7,0,0,0,5,0,4,0,197,109,7,1,1,13,5,8,1323,1299,104,0,24,3736,991,0,5,313,1427,4727
7,8,10,10,0,6,0,9,0,349,79,7,0,0,12,5,7,1365,1336,45,0,29,4837,438,10,26,435,1410,5275
8,9,3,3,0,2,1,5,0,303,162,2,0,0,20,7,13,1655,1610,73,0,45,4683,642,3,9,467,1728,5325
9,10,4,4,0,6,0,3,0,383,143,10,1,1,33,10,23,989,955,138,0,34,2376,706,4,14,536,1127,3082
10,11,2,2,0,10,0,4,0,259,218,79,0,0,19,9,10,2357,2334,250,0,23,4579,626,2,14,556,2607,5205
11,12,8,8,0,5,4,4,1,476,144,3,0,0,31,9,22,2901,2698,94,0,203,9064,344,8,25,624,2995,9408
12,13,0,0,0,7,2,1,0,214,128,4,0,0,19,8,11,1188,1152,101,0,36,3324,673,0,9,346,1289,3997
13,14,4,4,0,5,0,3,0,334,151,2,2,2,14,7,7,3282,3271,122,0,11,6505,749,4,13,487,3404,7254
14,15,1,1,0,4,0,0,0,190,150,14,1,1,8,5,3,1676,1671,85,1,4,3804,355,1,6,354,1761,4159
15,16,2,2,0,2,0,3,0,353,135,53,1,1,18,8,10,1890,1878,304,1,11,3325,761,2,6,541,2194,4086
16,17,3,3,1,4,0,3,0,302,106,20,1,1,22,9,13,1222,1196,279,0,26,2626,945,4,11,428,1501,3571
17,18,1,1,0,3,0,1,0,84,44,8,2,2,4,1,3,218,209,33,0,9,927,338,1,5,136,251,1265
18,19,3,3,0,6,1,7,0,201,100,8,0,0,13,6,7,688,650,74,0,38,1118,341,3,13,309,762,1459
19,20,2,2,0,6,0,5,0,326,158,3,3,3,27,5,22,631,621,89,0,10,1416,470,2,10,487,720,1886
20,21,3,3,0,5,0,5,0,277,140,0,0,0,19,7,12,1038,1014,156,0,24,1659,1033,3,11,417,1194,2692
21,22,1,1,0,4,0,7,0,322,93,8,0,0,27,7,20,1265,1256,151,0,9,2333,291,1,6,423,1416,2624
22,23,3,3,0,4,1,4,0,248,107,6,2,2,20,13,7,3217,3200,86,0,17,8275,900,3,11,361,3303,9175
23,24,9,9,0,5,0,7,1,442,118,4,0,0,40,12,28,1096,1081,157,0,15,2143,759,9,23,565,1253,2902
24,25,17,18,0,0,0,3,0,257,71,1,0,0,76,19,57,961,915,178,0,46,1228,139,18,35,329,1139,1367
25,26,2,2,0,3,0,3,0,285,102,11,1,1,14,3,11,675,668,139,0,7,909,184,2,7,398,814,1093
26,27,2,2,0,6,0,5,0,406,196,16,1,1,12,5,7,1686,1669,362,0,17,3109,305,2,10,618,2048,3414
27,28,5,5,0,5,0,5,0,251,144,5,1,1,25,9,16,1345,1306,206,0,39,1969,434,5,15,400,1551,2403
28,29,0,0,0,4,0,1,0,124,62,12,1,1,4,0,4,473,465,100,0,8,840,975,0,4,198,573,1815
29,30,2,2,0,4,0,2,0,260,183,9,0,0,9,4,5,1048,1030,172,0,18,2771,1841,2,8,452,1220,4612
30,31,1,1,0,3,0,0,0,111,84,4,1,1,7,4,3,359,349,85,0,10,589,433,1,5,199,444,1022
31,32,1,1,0,6,0,4,0,298,72,8,1,1,32,4,28,1208,1197,190,0,11,1643,496,1,8,378,1398,2139
32,33,2,2,0,11,0,9,0,339,157,3,2,2,41,10,31,994,895,292,0,99,1400,646,2,15,499,1286,2046
33,34,6,7,0,2,1,3,0,311,192,1,1,1,12,1,11,1516,1498,213,1,17,2826,367,7,16,504,1729,3193
34,35,5,5,0,2,1,9,0,430,86,32,2,2,26,8,18,2102,2079,374,0,23,2654,251,5,13,548,2476,2905
35,36,1,1,0,1,0,1,0,194,66,20,0,0,4,2,2,1455,1454,51,0,1,3758,334,1,3,280,1506,4092
36,37,31,36,0,10,0,15,1,593,225,2,1,1,51,13,38,3748,3707,369,0,41,2746,485,36,77,821,4117,3231
37,38,6,6,0,4,0,8,0,389,158,5,2,2,41,6,35,900,881,62,0,19,1621,333,6,16,552,962,1954
38,39,3,4,0,1,0,6,0,384,147,8,1,1,33,10,23,1087,1062,89,0,25,2218,717,4,8,539,1176,2935
39,40,4,4,0,4,0,3,3,231,76,4,2,2,27,9,18,760,720,90,0,40,1712,371,4,12,314,850,2083
40,41,3,3,0,0,0,10,1,310,96,1,0,0,40,11,29,1409,1392,170,0,17,1614,714,3,6,408,1579,2328
41,42,2,2,0,3,0,2,0,224,86,5,0,0,27,8,19,929,924,257,0,5,951,893,2,7,315,1186,1844
42,43,3,3,0,7,0,6,1,280,85,1,0,0,13,4,9,1203,1199,216,0,4,1017,130,3,13,367,1419,1147
