Categoria: Todas as categorias

Semana,itaim paulista são paulo: (Mundo)
2022-01-02,83
2022-01-09,92
2022-01-16,65
2022-01-23,93
2022-01-30,90
2022-02-06,47
2022-02-13,73
2022-02-20,84
2022-02-27,72
2022-03-06,70
2022-03-13,82
2022-03-20,74
2022-03-27,56
2022-04-03,63
2022-04-10,84
2022-04-17,60
2022-04-24,90
2022-05-01,75
2022-05-08,73
2022-05-15,87
2022-05-22,47
2022-05-29,82
2022-06-05,44
2022-06-12,59
2022-06-19,76
2022-06-26,76
2022-07-03,57
2022-07-10,83
2022-07-17,45
2022-07-24,88
2022-07-31,44
2022-08-07,100
2022-08-14,91
2022-08-21,62
2022-08-28,54
2022-09-04,79
2022-09-11,65
2022-09-18,82
2022-09-25,83
2022-10-02,58
2022-10-09,53
2022-10-16,70
2022-10-23,66
2022-10-30,73
2022-11-06,90
2022-11-13,59
2022-11-20,76
2022-11-27,58
2022-12-04,51
2022-12-11,57
2022-12-18,85
2022-12-25,46
