Categoria: Todas as categorias

Semana,consolação são paulo: (Mundo)
2022-01-02,73
2022-01-09,69
2022-01-16,44
2022-01-23,56
2022-01-30,16
2022-02-06,39
2022-02-13,76
2022-02-20,70
2022-02-27,42
2022-03-06,56
2022-03-13,61
2022-03-20,59
2022-03-27,48
2022-04-03,69
2022-04-10,39
2022-04-17,52
2022-04-24,63
2022-05-01,62
2022-05-08,81
2022-05-15,42
2022-05-22,76
2022-05-29,69
2022-06-05,100
2022-06-12,49
2022-06-19,41
2022-06-26,72
2022-07-03,81
2022-07-10,55
2022-07-17,37
2022-07-24,48
2022-07-31,74
2022-08-07,47
2022-08-14,59
2022-08-21,73
2022-08-28,74
2022-09-04,23
2022-09-11,69
2022-09-18,34
2022-09-25,40
2022-10-02,50
2022-10-09,42
2022-10-16,48
2022-10-23,68
2022-10-30,44
2022-11-06,63
2022-11-13,31
2022-11-20,49
2022-11-27,61
2022-12-04,41
2022-12-11,52
2022-12-18,36
2022-12-25,49
