Categoria: Todas as categorias

Semana,ceagesp são paulo: (Mundo)
2022-01-02,58
2022-01-09,32
2022-01-16,49
2022-01-23,51
2022-01-30,13
2022-02-06,45
2022-02-13,22
2022-02-20,43
2022-02-27,58
2022-03-06,50
2022-03-13,50
2022-03-20,66
2022-03-27,75
2022-04-03,63
2022-04-10,59
2022-04-17,35
2022-04-24,51
2022-05-01,49
2022-05-08,70
2022-05-15,52
2022-05-22,48
2022-05-29,74
2022-06-05,74
2022-06-12,66
2022-06-19,30
2022-06-26,69
2022-07-03,41
2022-07-10,31
2022-07-17,46
2022-07-24,51
2022-07-31,72
2022-08-07,100
2022-08-14,52
2022-08-21,63
2022-08-28,38
2022-09-04,57
2022-09-11,62
2022-09-18,66
2022-09-25,43
2022-10-02,74
2022-10-09,25
2022-10-16,43
2022-10-23,73
2022-10-30,75
2022-11-06,17
2022-11-13,60
2022-11-20,33
2022-11-27,51
2022-12-04,45
2022-12-11,35
2022-12-18,37
2022-12-25,54
