Categoria: Todas as categorias

Semana,parque novo mundo são paulo: (Mundo)
2022-01-02,34
2022-01-09,38
2022-01-16,71
2022-01-23,62
2022-01-30,82
2022-02-06,37
2022-02-13,51
2022-02-20,48
2022-02-27,43
2022-03-06,94
2022-03-13,28
2022-03-20,36
2022-03-27,44
2022-04-03,83
2022-04-10,39
2022-04-17,17
2022-04-24,96
2022-05-01,34
2022-05-08,61
2022-05-15,39
2022-05-22,78
2022-05-29,47
2022-06-05,48
2022-06-12,29
2022-06-19,22
2022-06-26,64
2022-07-03,40
2022-07-10,48
2022-07-17,67
2022-07-24,0
2022-07-31,67
2022-08-07,100
2022-08-14,50
2022-08-21,83
2022-08-28,0
2022-09-04,27
2022-09-11,32
2022-09-18,41
2022-09-25,49
2022-10-02,27
2022-10-09,70
2022-10-16,75
2022-10-23,42
2022-10-30,22
2022-11-06,20
2022-11-13,21
2022-11-20,0
2022-11-27,27
2022-12-04,49
2022-12-11,26
2022-12-18,20
2022-12-25,36
