Categoria: Todas as categorias

Semana,perdizes são paulo: (Mundo)
2022-01-02,60
2022-01-09,74
2022-01-16,51
2022-01-23,50
2022-01-30,65
2022-02-06,40
2022-02-13,77
2022-02-20,62
2022-02-27,57
2022-03-06,57
2022-03-13,60
2022-03-20,59
2022-03-27,49
2022-04-03,66
2022-04-10,61
2022-04-17,43
2022-04-24,61
2022-05-01,61
2022-05-08,58
2022-05-15,89
2022-05-22,72
2022-05-29,56
2022-06-05,49
2022-06-12,81
2022-06-19,54
2022-06-26,60
2022-07-03,39
2022-07-10,81
2022-07-17,83
2022-07-24,62
2022-07-31,73
2022-08-07,57
2022-08-14,63
2022-08-21,57
2022-08-28,94
2022-09-04,58
2022-09-11,100
2022-09-18,65
2022-09-25,93
2022-10-02,65
2022-10-09,59
2022-10-16,70
2022-10-23,74
2022-10-30,51
2022-11-06,58
2022-11-13,53
2022-11-20,76
2022-11-27,55
2022-12-04,33
2022-12-11,49
2022-12-18,42
2022-12-25,46
