Categoria: Todas as categorias

Semana,tatuapé são paulo: (Mundo)
2022-01-02,76
2022-01-09,93
2022-01-16,63
2022-01-23,72
2022-01-30,74
2022-02-06,66
2022-02-13,93
2022-02-20,75
2022-02-27,63
2022-03-06,86
2022-03-13,71
2022-03-20,74
2022-03-27,70
2022-04-03,74
2022-04-10,55
2022-04-17,85
2022-04-24,72
2022-05-01,80
2022-05-08,80
2022-05-15,74
2022-05-22,92
2022-05-29,100
2022-06-05,74
2022-06-12,76
2022-06-19,87
2022-06-26,68
2022-07-03,73
2022-07-10,81
2022-07-17,79
2022-07-24,85
2022-07-31,76
2022-08-07,66
2022-08-14,83
2022-08-21,70
2022-08-28,75
2022-09-04,75
2022-09-11,74
2022-09-18,71
2022-09-25,71
2022-10-02,53
2022-10-09,77
2022-10-16,73
2022-10-23,65
2022-10-30,64
2022-11-06,62
2022-11-13,48
2022-11-20,50
2022-11-27,74
2022-12-04,64
2022-12-11,48
2022-12-18,72
2022-12-25,58
