Categoria: Todas as categorias

Semana,campo limpo são paulo: (Mundo)
2022-01-02,97
2022-01-09,100
2022-01-16,72
2022-01-23,66
2022-01-30,73
2022-02-06,80
2022-02-13,69
2022-02-20,51
2022-02-27,70
2022-03-06,68
2022-03-13,80
2022-03-20,77
2022-03-27,93
2022-04-03,71
2022-04-10,91
2022-04-17,64
2022-04-24,57
2022-05-01,75
2022-05-08,61
2022-05-15,94
2022-05-22,82
2022-05-29,85
2022-06-05,81
2022-06-12,82
2022-06-19,63
2022-06-26,98
2022-07-03,82
2022-07-10,60
2022-07-17,49
2022-07-24,62
2022-07-31,59
2022-08-07,66
2022-08-14,87
2022-08-21,87
2022-08-28,94
2022-09-04,60
2022-09-11,91
2022-09-18,83
2022-09-25,68
2022-10-02,61
2022-10-09,84
2022-10-16,63
2022-10-23,69
2022-10-30,52
2022-11-06,51
2022-11-13,55
2022-11-20,61
2022-11-27,44
2022-12-04,47
2022-12-11,47
2022-12-18,56
2022-12-25,56
