Categoria: Todas as categorias

Semana,itaim bibi são paulo: (Mundo)
2022-01-02,67
2022-01-09,35
2022-01-16,60
2022-01-23,64
2022-01-30,42
2022-02-06,40
2022-02-13,65
2022-02-20,49
2022-02-27,36
2022-03-06,47
2022-03-13,69
2022-03-20,64
2022-03-27,84
2022-04-03,53
2022-04-10,58
2022-04-17,65
2022-04-24,75
2022-05-01,52
2022-05-08,98
2022-05-15,62
2022-05-22,22
2022-05-29,62
2022-06-05,87
2022-06-12,45
2022-06-19,56
2022-06-26,90
2022-07-03,57
2022-07-10,48
2022-07-17,100
2022-07-24,71
2022-07-31,51
2022-08-07,80
2022-08-14,68
2022-08-21,87
2022-08-28,64
2022-09-04,43
2022-09-11,70
2022-09-18,73
2022-09-25,57
2022-10-02,43
2022-10-09,98
2022-10-16,85
2022-10-23,68
2022-10-30,40
2022-11-06,77
2022-11-13,46
2022-11-20,55
2022-11-27,52
2022-12-04,83
2022-12-11,44
2022-12-18,65
2022-12-25,41
