Categoria: Todas as categorias

Semana,sé são paulo: (Mundo)
2022-01-02,15
2022-01-09,34
2022-01-16,18
2022-01-23,10
2022-01-30,20
2022-02-06,15
2022-02-13,28
2022-02-20,26
2022-02-27,26
2022-03-06,17
2022-03-13,25
2022-03-20,27
2022-03-27,36
2022-04-03,28
2022-04-10,25
2022-04-17,18
2022-04-24,31
2022-05-01,15
2022-05-08,26
2022-05-15,26
2022-05-22,38
2022-05-29,24
2022-06-05,27
2022-06-12,9
2022-06-19,31
2022-06-26,24
2022-07-03,48
2022-07-10,26
2022-07-17,22
2022-07-24,21
2022-07-31,20
2022-08-07,35
2022-08-14,28
2022-08-21,23
2022-08-28,19
2022-09-04,28
2022-09-11,41
2022-09-18,10
2022-09-25,25
2022-10-02,22
2022-10-09,29
2022-10-16,32
2022-10-23,19
2022-10-30,24
2022-11-06,23
2022-11-13,27
2022-11-20,100
2022-11-27,15
2022-12-04,11
2022-12-11,14
2022-12-18,23
2022-12-25,26
