Categoria: Todas as categorias

Semana,butantã são paulo: (Mundo)
2022-01-02,72
2022-01-09,76
2022-01-16,86
2022-01-23,90
2022-01-30,62
2022-02-06,76
2022-02-13,73
2022-02-20,70
2022-02-27,64
2022-03-06,73
2022-03-13,73
2022-03-20,63
2022-03-27,69
2022-04-03,70
2022-04-10,84
2022-04-17,61
2022-04-24,89
2022-05-01,97
2022-05-08,67
2022-05-15,77
2022-05-22,63
2022-05-29,74
2022-06-05,61
2022-06-12,69
2022-06-19,72
2022-06-26,88
2022-07-03,55
2022-07-10,93
2022-07-17,87
2022-07-24,86
2022-07-31,60
2022-08-07,66
2022-08-14,92
2022-08-21,100
2022-08-28,80
2022-09-04,58
2022-09-11,55
2022-09-18,89
2022-09-25,77
2022-10-02,74
2022-10-09,76
2022-10-16,74
2022-10-23,69
2022-10-30,52
2022-11-06,77
2022-11-13,34
2022-11-20,44
2022-11-27,24
2022-12-04,43
2022-12-11,23
2022-12-18,61
2022-12-25,29
