Categoria: Todas as categorias

Semana,vila maria são paulo: (Mundo)
2022-01-02,84
2022-01-09,40
2022-01-16,54
2022-01-23,89
2022-01-30,70
2022-02-06,63
2022-02-13,77
2022-02-20,77
2022-02-27,48
2022-03-06,69
2022-03-13,66
2022-03-20,79
2022-03-27,68
2022-04-03,68
2022-04-10,48
2022-04-17,50
2022-04-24,76
2022-05-01,86
2022-05-08,69
2022-05-15,70
2022-05-22,100
2022-05-29,78
2022-06-05,64
2022-06-12,73
2022-06-19,67
2022-06-26,77
2022-07-03,55
2022-07-10,73
2022-07-17,62
2022-07-24,60
2022-07-31,75
2022-08-07,73
2022-08-14,74
2022-08-21,58
2022-08-28,66
2022-09-04,75
2022-09-11,61
2022-09-18,51
2022-09-25,64
2022-10-02,63
2022-10-09,49
2022-10-16,66
2022-10-23,67
2022-10-30,68
2022-11-06,51
2022-11-13,53
2022-11-20,53
2022-11-27,51
2022-12-04,40
2022-12-11,57
2022-12-18,58
2022-12-25,41
