Categoria: Todas as categorias

Semana,campo grande são paulo: (Mundo)
2022-01-02,69
2022-01-09,58
2022-01-16,58
2022-01-23,62
2022-01-30,62
2022-02-06,58
2022-02-13,59
2022-02-20,57
2022-02-27,65
2022-03-06,60
2022-03-13,70
2022-03-20,55
2022-03-27,71
2022-04-03,58
2022-04-10,60
2022-04-17,67
2022-04-24,76
2022-05-01,57
2022-05-08,51
2022-05-15,100
2022-05-22,56
2022-05-29,51
2022-06-05,61
2022-06-12,71
2022-06-19,69
2022-06-26,77
2022-07-03,72
2022-07-10,64
2022-07-17,84
2022-07-24,51
2022-07-31,61
2022-08-07,71
2022-08-14,69
2022-08-21,75
2022-08-28,61
2022-09-04,59
2022-09-11,57
2022-09-18,63
2022-09-25,58
2022-10-02,67
2022-10-09,53
2022-10-16,48
2022-10-23,59
2022-10-30,58
2022-11-06,57
2022-11-13,48
2022-11-20,54
2022-11-27,36
2022-12-04,36
2022-12-11,39
2022-12-18,47
2022-12-25,45
