Categoria: Todas as categorias

Semana,são mateus são paulo: (Mundo)
2022-01-02,67
2022-01-09,66
2022-01-16,53
2022-01-23,77
2022-01-30,66
2022-02-06,55
2022-02-13,55
2022-02-20,57
2022-02-27,73
2022-03-06,67
2022-03-13,77
2022-03-20,72
2022-03-27,61
2022-04-03,65
2022-04-10,78
2022-04-17,55
2022-04-24,74
2022-05-01,74
2022-05-08,66
2022-05-15,100
2022-05-22,74
2022-05-29,85
2022-06-05,75
2022-06-12,88
2022-06-19,95
2022-06-26,67
2022-07-03,76
2022-07-10,62
2022-07-17,78
2022-07-24,73
2022-07-31,75
2022-08-07,91
2022-08-14,78
2022-08-21,80
2022-08-28,71
2022-09-04,77
2022-09-11,80
2022-09-18,77
2022-09-25,82
2022-10-02,53
2022-10-09,66
2022-10-16,75
2022-10-23,78
2022-10-30,61
2022-11-06,54
2022-11-13,37
2022-11-20,41
2022-11-27,59
2022-12-04,53
2022-12-11,67
2022-12-18,58
2022-12-25,52
