Categoria: Todas as categorias

Semana,bom retiro são paulo: (Mundo)
2022-01-02,59
2022-01-09,29
2022-01-16,57
2022-01-23,43
2022-01-30,43
2022-02-06,85
2022-02-13,40
2022-02-20,57
2022-02-27,30
2022-03-06,33
2022-03-13,63
2022-03-20,51
2022-03-27,53
2022-04-03,58
2022-04-10,51
2022-04-17,61
2022-04-24,100
2022-05-01,60
2022-05-08,67
2022-05-15,60
2022-05-22,35
2022-05-29,49
2022-06-05,31
2022-06-12,44
2022-06-19,71
2022-06-26,56
2022-07-03,62
2022-07-10,66
2022-07-17,63
2022-07-24,52
2022-07-31,71
2022-08-07,61
2022-08-14,57
2022-08-21,60
2022-08-28,42
2022-09-04,82
2022-09-11,62
2022-09-18,69
2022-09-25,81
2022-10-02,50
2022-10-09,44
2022-10-16,51
2022-10-23,61
2022-10-30,70
2022-11-06,68
2022-11-13,69
2022-11-20,52
2022-11-27,44
2022-12-04,55
2022-12-11,40
2022-12-18,56
2022-12-25,51
