Categoria: Todas as categorias

Semana,jabaquara são paulo: (Mundo)
2022-01-02,95
2022-01-09,77
2022-01-16,92
2022-01-23,91
2022-01-30,68
2022-02-06,54
2022-02-13,72
2022-02-20,84
2022-02-27,78
2022-03-06,84
2022-03-13,100
2022-03-20,90
2022-03-27,82
2022-04-03,63
2022-04-10,70
2022-04-17,65
2022-04-24,74
2022-05-01,82
2022-05-08,66
2022-05-15,86
2022-05-22,76
2022-05-29,75
2022-06-05,73
2022-06-12,82
2022-06-19,82
2022-06-26,85
2022-07-03,83
2022-07-10,85
2022-07-17,84
2022-07-24,76
2022-07-31,66
2022-08-07,91
2022-08-14,91
2022-08-21,63
2022-08-28,55
2022-09-04,76
2022-09-11,61
2022-09-18,53
2022-09-25,70
2022-10-02,69
2022-10-09,73
2022-10-16,67
2022-10-23,78
2022-10-30,66
2022-11-06,42
2022-11-13,59
2022-11-20,61
2022-11-27,48
2022-12-04,46
2022-12-11,65
2022-12-18,61
2022-12-25,70
