Categoria: Todas as categorias

Semana,vila formosa são paulo: (Mundo)
2022-01-02,54
2022-01-09,68
2022-01-16,100
2022-01-23,62
2022-01-30,26
2022-02-06,58
2022-02-13,64
2022-02-20,40
2022-02-27,58
2022-03-06,49
2022-03-13,51
2022-03-20,44
2022-03-27,58
2022-04-03,74
2022-04-10,56
2022-04-17,56
2022-04-24,52
2022-05-01,59
2022-05-08,56
2022-05-15,34
2022-05-22,48
2022-05-29,38
2022-06-05,63
2022-06-12,62
2022-06-19,30
2022-06-26,62
2022-07-03,71
2022-07-10,27
2022-07-17,71
2022-07-24,31
2022-07-31,51
2022-08-07,77
2022-08-14,83
2022-08-21,70
2022-08-28,51
2022-09-04,76
2022-09-11,78
2022-09-18,80
2022-09-25,94
2022-10-02,46
2022-10-09,30
2022-10-16,51
2022-10-23,70
2022-10-30,37
2022-11-06,67
2022-11-13,48
2022-11-20,44
2022-11-27,62
2022-12-04,21
2022-12-11,35
2022-12-18,57
2022-12-25,0
