Categoria: Saúde

Semana,vila mariana são paulo: (Mundo)
2022-01-02,0
2022-01-09,27
2022-01-16,53
2022-01-23,0
2022-01-30,77
2022-02-06,32
2022-02-13,0
2022-02-20,0
2022-02-27,20
2022-03-06,0
2022-03-13,0
2022-03-20,20
2022-03-27,33
2022-04-03,16
2022-04-10,48
2022-04-17,28
2022-04-24,23
2022-05-01,37
2022-05-08,39
2022-05-15,0
2022-05-22,42
2022-05-29,19
2022-06-05,0
2022-06-12,53
2022-06-19,32
2022-06-26,37
2022-07-03,36
2022-07-10,42
2022-07-17,34
2022-07-24,30
2022-07-31,38
2022-08-07,0
2022-08-14,26
2022-08-21,24
2022-08-28,18
2022-09-04,23
2022-09-11,17
2022-09-18,0
2022-09-25,24
2022-10-02,49
2022-10-09,33
2022-10-16,100
2022-10-23,33
2022-10-30,41
2022-11-06,33
2022-11-13,0
2022-11-20,42
2022-11-27,33
2022-12-04,0
2022-12-11,28
2022-12-18,34
2022-12-25,0
