Categoria: Saúde

Semana,campo limpo são paulo: (Mundo)
2022-01-02,77
2022-01-09,34
2022-01-16,76
2022-01-23,28
2022-01-30,22
2022-02-06,29
2022-02-13,17
2022-02-20,0
2022-02-27,32
2022-03-06,0
2022-03-13,0
2022-03-20,18
2022-03-27,37
2022-04-03,0
2022-04-10,46
2022-04-17,0
2022-04-24,0
2022-05-01,24
2022-05-08,49
2022-05-15,0
2022-05-22,0
2022-05-29,20
2022-06-05,55
2022-06-12,34
2022-06-19,0
2022-06-26,34
2022-07-03,65
2022-07-10,31
2022-07-17,0
2022-07-24,28
2022-07-31,0
2022-08-07,0
2022-08-14,100
2022-08-21,42
2022-08-28,25
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,21
2022-10-16,16
2022-10-23,19
2022-10-30,20
2022-11-06,0
2022-11-13,33
2022-11-20,38
2022-11-27,24
2022-12-04,15
2022-12-11,0
2022-12-18,0
2022-12-25,28
