Categoria: Saúde

Semana,santo amaro são paulo: (Mundo)
2022-01-02,0
2022-01-09,44
2022-01-16,34
2022-01-23,99
2022-01-30,87
2022-02-06,53
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,24
2022-03-13,37
2022-03-20,0
2022-03-27,70
2022-04-03,58
2022-04-10,36
2022-04-17,0
2022-04-24,54
2022-05-01,82
2022-05-08,100
2022-05-15,37
2022-05-22,53
2022-05-29,0
2022-06-05,68
2022-06-12,0
2022-06-19,82
2022-06-26,47
2022-07-03,51
2022-07-10,77
2022-07-17,30
2022-07-24,0
2022-07-31,35
2022-08-07,0
2022-08-14,56
2022-08-21,58
2022-08-28,49
2022-09-04,32
2022-09-11,0
2022-09-18,43
2022-09-25,0
2022-10-02,0
2022-10-09,29
2022-10-16,54
2022-10-23,86
2022-10-30,0
2022-11-06,82
2022-11-13,74
2022-11-20,0
2022-11-27,69
2022-12-04,0
2022-12-11,0
2022-12-18,48
2022-12-25,34
