Categoria: Saúde

Semana,tatuapé são paulo: (Mundo)
2022-01-02,92
2022-01-09,98
2022-01-16,24
2022-01-23,30
2022-01-30,0
2022-02-06,34
2022-02-13,0
2022-02-20,30
2022-02-27,21
2022-03-06,49
2022-03-13,44
2022-03-20,0
2022-03-27,20
2022-04-03,24
2022-04-10,88
2022-04-17,32
2022-04-24,0
2022-05-01,47
2022-05-08,0
2022-05-15,40
2022-05-22,77
2022-05-29,87
2022-06-05,52
2022-06-12,39
2022-06-19,69
2022-06-26,68
2022-07-03,0
2022-07-10,0
2022-07-17,24
2022-07-24,29
2022-07-31,22
2022-08-07,24
2022-08-14,25
2022-08-21,85
2022-08-28,100
2022-09-04,43
2022-09-11,0
2022-09-18,51
2022-09-25,83
2022-10-02,0
2022-10-09,55
2022-10-16,76
2022-10-23,22
2022-10-30,60
2022-11-06,51
2022-11-13,72
2022-11-20,18
2022-11-27,31
2022-12-04,36
2022-12-11,23
2022-12-18,21
2022-12-25,0
