Categoria: Saúde

Semana,socorro são paulo: (Mundo)
2022-01-02,100
2022-01-09,36
2022-01-16,43
2022-01-23,0
2022-01-30,0
2022-02-06,43
2022-02-13,24
2022-02-20,29
2022-02-27,64
2022-03-06,35
2022-03-13,32
2022-03-20,45
2022-03-27,38
2022-04-03,30
2022-04-10,24
2022-04-17,25
2022-04-24,49
2022-05-01,80
2022-05-08,28
2022-05-15,63
2022-05-22,43
2022-05-29,48
2022-06-05,67
2022-06-12,42
2022-06-19,77
2022-06-26,81
2022-07-03,26
2022-07-10,23
2022-07-17,29
2022-07-24,43
2022-07-31,55
2022-08-07,60
2022-08-14,60
2022-08-21,0
2022-08-28,20
2022-09-04,47
2022-09-11,65
2022-09-18,41
2022-09-25,50
2022-10-02,69
2022-10-09,56
2022-10-16,35
2022-10-23,51
2022-10-30,33
2022-11-06,51
2022-11-13,0
2022-11-20,46
2022-11-27,58
2022-12-04,50
2022-12-11,44
2022-12-18,55
2022-12-25,22
