Categoria: Saúde

Semana,são mateus são paulo: (Mundo)
2022-01-02,18
2022-01-09,25
2022-01-16,44
2022-01-23,15
2022-01-30,0
2022-02-06,0
2022-02-13,17
2022-02-20,15
2022-02-27,14
2022-03-06,35
2022-03-13,13
2022-03-20,42
2022-03-27,30
2022-04-03,11
2022-04-10,87
2022-04-17,0
2022-04-24,27
2022-05-01,0
2022-05-08,20
2022-05-15,14
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,77
2022-06-26,33
2022-07-03,100
2022-07-10,66
2022-07-17,21
2022-07-24,12
2022-07-31,21
2022-08-07,0
2022-08-14,0
2022-08-21,14
2022-08-28,0
2022-09-04,37
2022-09-11,0
2022-09-18,0
2022-09-25,14
2022-10-02,14
2022-10-09,0
2022-10-16,0
2022-10-23,14
2022-10-30,0
2022-11-06,19
2022-11-13,39
2022-11-20,32
2022-11-27,26
2022-12-04,47
2022-12-11,20
2022-12-18,14
2022-12-25,15
